0.2.262.1.10, Telesec
0.4.0.127.0.7.1.1.4.1.3, ecdsa-plain-SHA256
0.4.0.127.0.7.1.1.4.1.4, ecdsa-plain-SHA384
0.4.0.127.0.7.1.1.4.1.5, ecdsa-plain-SHA512
0.4.0.127.0.7.1.1.4.1.6, ecdsa-plain-RIPEMD160
0.4.0.127.0.7.1.1.5.1, ecka-eg
0.4.0.127.0.7.1.1.5.1.1, ecka-eg-X963KDF
0.4.0.127.0.7.1.1.5.1.1.1, ecka-eg-X963KDF-SHA1
0.4.0.127.0.7.1.1.5.1.1.2, ecka-eg-X963KDF-SHA224
0.4.0.127.0.7.1.1.5.1.1.3, ecka-eg-X963KDF-SHA256
0.4.0.127.0.7.1.1.5.1.1.4, ecka-eg-X963KDF-SHA384
0.4.0.127.0.7.1.1.5.1.1.5, ecka-eg-X963KDF-SHA512
0.4.0.127.0.7.1.1.5.1.1.6, ecka-eg-X963KDF-RIPEMD160
0.4.0.127.0.7.1.1.5.1.2, ecka-eg-SessionKDF
0.4.0.127.0.7.1.1.5.1.2.1, ecka-eg-SessionKDF-3DES
0.4.0.127.0.7.1.1.5.1.2.2, ecka-eg-SessionKDF-AES128
0.4.0.127.0.7.1.1.5.1.2.3, ecka-eg-SessionKDF-AES192
0.4.0.127.0.7.1.1.5.1.2.4, ecka-eg-SessionKDF-AES256
0.4.0.127.0.7.1.1.5.2, ecka-dh
0.4.0.127.0.7.1.1.5.2.1, ecka-dh-X963KDF
0.4.0.127.0.7.1.1.5.2.1.1, ecka-dh-X963KDF-SHA1
0.4.0.127.0.7.1.1.5.2.1.2, ecka-dh-X963KDF-SHA224
0.4.0.127.0.7.1.1.5.2.1.3, ecka-dh-X963KDF-SHA256
0.4.0.127.0.7.1.1.5.2.1.4, ecka-dh-X963KDF-SHA384
0.4.0.127.0.7.1.1.5.2.1.5, ecka-dh-X963KDF-SHA512
0.4.0.127.0.7.1.1.5.2.1.6, ecka-dh-X963KDF-RIPEMD160
0.4.0.127.0.7.1.1.5.2.2, ecka-dh-SessionKDF
0.4.0.127.0.7.1.1.5.2.2.1, ecka-dh-SessionKDF-3DES
0.4.0.127.0.7.1.1.5.2.2.2, ecka-dh-SessionKDF-AES128
0.4.0.127.0.7.1.1.5.2.2.3, ecka-dh-SessionKDF-AES192
0.4.0.127.0.7.1.1.5.2.2.4, ecka-dh-SessionKDF-AES256
0.4.0.127.0.7.1.2, standardizedDomainParameter
0.4.0.127.0.7.1.2.1, bsiEcPublicKey
0.4.0.127.0.7.1.5.1, bsiKaeg
0.4.0.127.0.7.1.5.1.1, bsiKaegWithX963KDF
0.4.0.127.0.7.1.5.1.2, bsiKaegWith3DESKDF
0.4.0.127.0.7.2.2.1, id-PK
0.4.0.127.0.7.2.2.1.1, id-PK-DH
0.4.0.127.0.7.2.2.1.2, id-PK-ECDH
0.4.0.127.0.7.2.2.2, id-TA
0.4.0.127.0.7.2.2.2.1, id-TA-RSA
0.4.0.127.0.7.2.2.2.1.1, id-TA-RSA-v1-5-SHA-1
0.4.0.127.0.7.2.2.2.1.2, id-TA-RSA-v1-5-SHA-256
0.4.0.127.0.7.2.2.2.1.3, id-TA-RSA-PSS-SHA-1
0.4.0.127.0.7.2.2.2.1.4, id-TA-RSA-PSS-SHA-256
0.4.0.127.0.7.2.2.2.2, id-TA-ECDSA
0.4.0.127.0.7.2.2.2.2.1, id-TA-ECDSA-SHA-1
0.4.0.127.0.7.2.2.2.2.2, id-TA-ECDSA-SHA-224
0.4.0.127.0.7.2.2.2.2.3, id-TA-ECDSA-SHA-256
0.4.0.127.0.7.2.2.2.2.4, id-TA-ECDSA-SHA-384
0.4.0.127.0.7.2.2.2.2.5, id-TA-ECDSA-SHA-512
0.4.0.127.0.7.2.2.3, id-CA
0.4.0.127.0.7.2.2.3.1, id-CA-DH
0.4.0.127.0.7.2.2.3.1.1, id-CA-DH-3DES-CBC-CBC
0.4.0.127.0.7.2.2.3.1.2, id-CA-DH-AES-CBC-CMAC-128
0.4.0.127.0.7.2.2.3.1.3, id-CA-DH-AES-CBC-CMAC-192
0.4.0.127.0.7.2.2.3.1.4, id-CA-DH-AES-CBC-CMAC-256
0.4.0.127.0.7.2.2.3.2, id-CA-ECDH
0.4.0.127.0.7.2.2.3.2.1, id-CA-ECDH-3DES-CBC-CBC
0.4.0.127.0.7.2.2.3.2.2, id-CA-ECDH-AES-CBC-CMAC-128
0.4.0.127.0.7.2.2.3.2.3, id-CA-ECDH-AES-CBC-CMAC-192
0.4.0.127.0.7.2.2.3.2.4, id-CA-ECDH-AES-CBC-CMAC-256
0.4.0.127.0.7.2.2.4, id-PACE
0.4.0.127.0.7.2.2.4.1, id-PACE-DH-GM
0.4.0.127.0.7.2.2.4.1.1, id-PACE-DH-GM-3DES-CBC-CBC
0.4.0.127.0.7.2.2.4.1.2, id-PACE-DH-GM-AES-CBC-CMAC-128
0.4.0.127.0.7.2.2.4.1.3, id-PACE-DH-GM-AES-CBC-CMAC-192
0.4.0.127.0.7.2.2.4.1.4, id-PACE-DH-GM-AES-CBC-CMAC-256
0.4.0.127.0.7.2.2.4.2, id-PACE-ECDH-GM
0.4.0.127.0.7.2.2.4.2.1, id-PACE-ECDH-GM-3DES-CBC-CBC
0.4.0.127.0.7.2.2.4.2.2, id-PACE-ECDH-GM-AES-CBC-CMAC-128
0.4.0.127.0.7.2.2.4.2.3, id-PACE-ECDH-GM-AES-CBC-CMAC-192
0.4.0.127.0.7.2.2.4.2.4, id-PACE-ECDH-GM-AES-CBC-CMAC-256
0.4.0.127.0.7.2.2.4.3, id-PACE-DH-IM
0.4.0.127.0.7.2.2.4.3.1, id-PACE-DH-IM-3DES-CBC-CBC
0.4.0.127.0.7.2.2.4.3.2, id-PACE-DH-IM-AES-CBC-CMAC-128
0.4.0.127.0.7.2.2.4.3.3, id-PACE-DH-IM-AES-CBC-CMAC-192
0.4.0.127.0.7.2.2.4.3.4, id-PACE-DH-IM-AES-CBC-CMAC-256
0.4.0.127.0.7.2.2.4.4, id-PACE-ECDH-IM
0.4.0.127.0.7.2.2.4.4.1, id-PACE-ECDH-IM-3DES-CBC-CBC
0.4.0.127.0.7.2.2.4.4.2, id-PACE-ECDH-IM-AES-CBC-CMAC-128
0.4.0.127.0.7.2.2.4.4.3, id-PACE-ECDH-IM-AES-CBC-CMAC-192
0.4.0.127.0.7.2.2.4.4.4, id-PACE-ECDH-IM-AES-CBC-CMAC-256
0.4.0.127.0.7.2.2.5, id-RI
0.4.0.127.0.7.2.2.5.1, id-RI-DH
0.4.0.127.0.7.2.2.5.1.1, id-RI-DH-SHA-1
0.4.0.127.0.7.2.2.5.1.2, id-RI-DH-SHA-224
0.4.0.127.0.7.2.2.5.1.3, id-RI-DH-SHA-256
0.4.0.127.0.7.2.2.5.2, id-RI-ECDH
0.4.0.127.0.7.2.2.5.2.1, id-RI-ECDH-SHA-1
0.4.0.127.0.7.2.2.5.2.2, id-RI-ECDH-SHA-224
0.4.0.127.0.7.2.2.5.2.3, id-RI-ECDH-SHA-256
0.4.0.127.0.7.2.2.6, id-CI
0.4.0.127.0.7.3.1.2, id-roles
0.4.0.127.0.7.3.1.2.1, id-IS
0.4.0.127.0.7.3.1.2.2, id-AT
0.4.0.127.0.7.3.1.2.3, id-ST
0.4.0.127.0.7.3.1.3, id-extensions
0.4.0.127.0.7.3.1.3.1, id-description
0.4.0.127.0.7.3.1.3.1.1, id-plainFormat
0.4.0.127.0.7.3.1.3.1.2, id-htmlFormat
0.4.0.127.0.7.3.1.3.1.3, id-pdfFormat
0.4.0.127.0.7.3.1.3.2, id-sector
0.4.0.127.0.7.3.1.4, id-auxiliaryData
0.4.0.127.0.7.3.1.4.1, id-DateOfBirth
0.4.0.127.0.7.3.1.4.2, id-DateOfExpiry
0.4.0.127.0.7.3.1.4.3, id-CommunityID
0.4.0.127.0.7.3.1.5, id-DefectList
0.4.0.127.0.7.3.1.5.1, id-AuthDefect
0.4.0.127.0.7.3.1.5.1.1, id-CertRevoked
0.4.0.127.0.7.3.1.5.1.2, id-CertReplaced
0.4.0.127.0.7.3.1.5.1.3, id-ChipAuthKeyRevoked
0.4.0.127.0.7.3.1.5.1.4, id-ActiveAuthKeyRevoked
0.4.0.127.0.7.3.1.5.2, id-ePassportDefect
0.4.0.127.0.7.3.1.5.2.1, id-ePassportDGMalformed
0.4.0.127.0.7.3.1.5.2.2, id-SODInvalid
0.4.0.127.0.7.3.1.5.3, id-eIDDefect
0.4.0.127.0.7.3.1.5.3.1, id-eIDDGMalformed
0.4.0.127.0.7.3.1.5.3.2, id-eIDIntegrity
0.4.0.127.0.7.3.1.5.4, id-DocumentDefect
0.4.0.127.0.7.3.1.5.4.1, id-CardSecurityMalformed
0.4.0.127.0.7.3.1.5.4.2, id-ChipSecurityMalformed
0.4.0.127.0.7.3.1.5.4.3, id-PowerDownReq
0.4.0.127.0.7.3.1.6, id-ListContentDescription
0.4.0.127.0.7.3.2, id-eID
0.4.0.127.0.7.3.2.1, id-SecurityObject
0.4.0.127.0.7.3.2.2, id-BlackList
0.4.0.1862, etsiQcsProfile
0.4.0.1862.1, etsiQcs
0.4.0.1862.1.1, etsiQcsCompliance
0.4.0.1862.1.2, etsiQcsLimitValue
0.4.0.1862.1.3, etsiQcsRetentionPeriod
0.4.0.1862.1.4, etsiQcsQcSSCD
0.9.2342.19200300.100.1.1, userID
0.9.2342.19200300.100.1.25, domainComponent
0.9.2342.19200300.100.1.3, rfc822Mailbox
1.0.10118.3.0.49, ripemd160
1.0.10118.3.0.50, ripemd128
1.0.10118.3.0.55, whirlpool
1.2.36.1.333.1, australianBusinessNumber
1.2.36.68980861.1.1.10, Signet pilot
1.2.36.68980861.1.1.11, Signet intraNet
1.2.36.68980861.1.1.2, Signet personal
1.2.36.68980861.1.1.20, Signet securityPolicy
1.2.36.68980861.1.1.3, Signet business
1.2.36.68980861.1.1.4, Signet legal
1.2.36.75878867.1.100.1.1, Certificates Australia policyIdentifier
1.2.392.200011.61.1.1.1, symmetric-encryption-algorithm
1.2.392.200011.61.1.1.1.1, misty1-cbc
1.2.752.34.1, seis-cp
1.2.752.34.1.1, SEIS certificatePolicy-s10
1.2.752.34.1.2, SEIS GAK policyIdentifier
1.2.752.34.2, SEIS pe
1.2.752.34.3, SEIS at
1.2.752.34.3.1, SEIS at-personalIdentifier
1.2.840.10040.1, module
1.2.840.10040.1.1, x9f1-cert-mgmt
1.2.840.10040.2, holdinstruction
1.2.840.10040.2.1, holdinstruction-none
1.2.840.10040.2.2, holdinstruction-callissuer
1.2.840.10040.2.3, holdinstruction-reject
1.2.840.10040.2.4, pickupToken
1.2.840.10040.3, attribute
1.2.840.10040.3.1, countersignature
1.2.840.10040.3.2, attribute-cert
1.2.840.10040.4, algorithm
1.2.840.10040.4.1, dsa
1.2.840.10040.4.2, dsa-match
1.2.840.10040.4.3, dsaWithSha1
1.2.840.10045, ansi-X9-62
1.2.840.10045.1, fieldType
1.2.840.10045.1.1, prime-field
1.2.840.10045.1.2, characteristic-two-field
1.2.840.10045.1.2.1, ecPublicKey
1.2.840.10045.1.2.3, characteristic-two-basis
1.2.840.10045.1.2.3.1, onBasis
1.2.840.10045.1.2.3.2, tpBasis
1.2.840.10045.1.2.3.3, ppBasis
1.2.840.10045.2, publicKeyType
1.2.840.10045.2.1, ecPublicKey
1.2.840.10045.3.0.1, c2pnb163v1
1.2.840.10045.3.0.10, c2pnb208w1
1.2.840.10045.3.0.11, c2tnb239v1
1.2.840.10045.3.0.12, c2tnb239v2
1.2.840.10045.3.0.13, c2tnb239v3
1.2.840.10045.3.0.16, c2pnb272w1
1.2.840.10045.3.0.18, c2tnb359v1
1.2.840.10045.3.0.19, c2pnb368w1
1.2.840.10045.3.0.2, c2pnb163v2
1.2.840.10045.3.0.20, c2tnb431r1
1.2.840.10045.3.0.3, c2pnb163v3
1.2.840.10045.3.0.5, c2tnb191v1
1.2.840.10045.3.0.6, c2tnb191v2
1.2.840.10045.3.0.7, c2tnb191v3
1.2.840.10045.3.1.1, ansiX9p192r1
1.2.840.10045.3.1.1.1, prime192v1
1.2.840.10045.3.1.1.2, prime192v2
1.2.840.10045.3.1.1.3, prime192v3
1.2.840.10045.3.1.1.4, prime239v1
1.2.840.10045.3.1.1.5, prime239v2
1.2.840.10045.3.1.1.6, prime239v3
1.2.840.10045.3.1.1.7, prime256v1
1.2.840.10045.3.1.7, ansiX9p256r1
1.2.840.10045.4, id-ecSigType
1.2.840.10045.4.1, ecdsaWithSHA1
1.2.840.10045.4.2, ecdsaWithRecommended
1.2.840.10045.4.3, ecdsaWithSpecified
1.2.840.10045.4.3.1, ecdsaWithSHA224
1.2.840.10045.4.3.2, ecdsaWithSHA256
1.2.840.10045.4.3.3, ecdsaWithSHA384
1.2.840.10045.4.3.4, ecdsaWithSHA512
1.2.840.10046.1, fieldType
1.2.840.10046.1.1, gf-prime
1.2.840.10046.2, numberType
1.2.840.10046.2.1, dhPublicNumber
1.2.840.10046.3, scheme
1.2.840.10046.3.1, dhStatic
1.2.840.10046.3.2, dhEphem
1.2.840.10046.3.3, dhHybrid1
1.2.840.10046.3.4, dhHybrid2
1.2.840.10046.3.5, mqv2
1.2.840.10046.3.6, mqv1
1.2.840.10065.2.2, ?
1.2.840.10065.2.3, healthcareLicense
1.2.840.10065.2.3.1.1, license?
1.2.840.113533.7, nsn
1.2.840.113533.7.65, nsn-ce
1.2.840.113533.7.65.0, entrustVersInfo
1.2.840.113533.7.66, nsn-alg
1.2.840.113533.7.66.10, cast5CBC
1.2.840.113533.7.66.11, cast5MAC
1.2.840.113533.7.66.12, pbeWithMD5AndCAST5-CBC
1.2.840.113533.7.66.13, passwordBasedMac
1.2.840.113533.7.66.3, cast3CBC
1.2.840.113533.7.67, nsn-oc
1.2.840.113533.7.67.0, entrustUser
1.2.840.113533.7.68, nsn-at
1.2.840.113533.7.68.0, entrustCAInfo
1.2.840.113533.7.68.10, attributeCertificate
1.2.840.113549.1.1, pkcs-1
1.2.840.113549.1.1.1, rsaEncryption
1.2.840.113549.1.1.10, rsaPSS
1.2.840.113549.1.1.11, sha256WithRSAEncryption
1.2.840.113549.1.1.12, sha384WithRSAEncryption
1.2.840.113549.1.1.13, sha512WithRSAEncryption
1.2.840.113549.1.1.14, sha224WithRSAEncryption
1.2.840.113549.1.1.2, md2withRSAEncryption
1.2.840.113549.1.1.3, md4withRSAEncryption
1.2.840.113549.1.1.4, md5withRSAEncryption
1.2.840.113549.1.1.5, sha1withRSAEncryption
1.2.840.113549.1.1.6, rsaOAEPEncryptionSET
1.2.840.113549.1.1.7, rsaOAEP
1.2.840.113549.1.1.8, pkcs1-MGF
1.2.840.113549.1.1.9, rsaOAEP-pSpecified
1.2.840.113549.1.12, pkcs-12
1.2.840.113549.1.12.1, pkcs-12-PbeIds
1.2.840.113549.1.12.1.1, pbeWithSHAAnd128BitRC4
1.2.840.113549.1.12.1.2, pbeWithSHAAnd40BitRC4
1.2.840.113549.1.12.1.3, pbeWithSHAAnd3-KeyTripleDES-CBC
1.2.840.113549.1.12.1.4, pbeWithSHAAnd2-KeyTripleDES-CBC
1.2.840.113549.1.12.1.5, pbeWithSHAAnd128BitRC2-CBC
1.2.840.113549.1.12.1.6, pbeWithSHAAnd40BitRC2-CBC
1.2.840.113549.1.12.10, pkcs-12Version1
1.2.840.113549.1.12.10.1, pkcs-12BadIds
1.2.840.113549.1.12.10.1.1, pkcs-12-keyBag
1.2.840.113549.1.12.10.1.2, pkcs-12-pkcs-8ShroudedKeyBag
1.2.840.113549.1.12.10.1.3, pkcs-12-certBag
1.2.840.113549.1.12.10.1.4, pkcs-12-crlBag
1.2.840.113549.1.12.10.1.5, pkcs-12-secretBag
1.2.840.113549.1.12.10.1.6, pkcs-12-safeContentsBag
1.2.840.113549.1.12.2, pkcs-12-ESPVKID
1.2.840.113549.1.12.2.1, pkcs-12-PKCS8KeyShrouding
1.2.840.113549.1.12.3, pkcs-12-BagIds
1.2.840.113549.1.12.3.1, pkcs-12-keyBagId
1.2.840.113549.1.12.3.2, pkcs-12-certAndCRLBagId
1.2.840.113549.1.12.3.3, pkcs-12-secretBagId
1.2.840.113549.1.12.3.4, pkcs-12-safeContentsId
1.2.840.113549.1.12.3.5, pkcs-12-pkcs-8ShroudedKeyBagId
1.2.840.113549.1.12.4, pkcs-12-CertBagID
1.2.840.113549.1.12.4.1, pkcs-12-X509CertCRLBagID
1.2.840.113549.1.12.4.2, pkcs-12-SDSICertBagID
1.2.840.113549.1.12.5, pkcs-12-OID
1.2.840.113549.1.12.5.1, pkcs-12-PBEID
1.2.840.113549.1.12.5.1.1, pkcs-12-PBEWithSha1And128BitRC4
1.2.840.113549.1.12.5.1.2, pkcs-12-PBEWithSha1And40BitRC4
1.2.840.113549.1.12.5.1.3, pkcs-12-PBEWithSha1AndTripleDESCBC
1.2.840.113549.1.12.5.1.4, pkcs-12-PBEWithSha1And128BitRC2CBC
1.2.840.113549.1.12.5.1.5, pkcs-12-PBEWithSha1And40BitRC2CBC
1.2.840.113549.1.12.5.1.6, pkcs-12-PBEWithSha1AndRC4
1.2.840.113549.1.12.5.1.7, pkcs-12-PBEWithSha1AndRC2CBC
1.2.840.113549.1.12.5.2, pkcs-12-EnvelopingID
1.2.840.113549.1.12.5.2.1, pkcs-12-RSAEncryptionWith128BitRC4
1.2.840.113549.1.12.5.2.2, pkcs-12-RSAEncryptionWith40BitRC4
1.2.840.113549.1.12.5.2.3, pkcs-12-RSAEncryptionWithTripleDES
1.2.840.113549.1.12.5.3, pkcs-12-SignatureID
1.2.840.113549.1.12.5.3.1, pkcs-12-RSASignatureWithSHA1Digest
1.2.840.113549.1.15.1, pkcs15modules
1.2.840.113549.1.15.2, pkcs15attributes
1.2.840.113549.1.15.3, pkcs15contentType
1.2.840.113549.1.15.3.1, pkcs15content
1.2.840.113549.1.2, bsafeRsaEncr
1.2.840.113549.1.3, pkcs-3
1.2.840.113549.1.3.1, dhKeyAgreement
1.2.840.113549.1.5, pkcs-5
1.2.840.113549.1.5.1, pbeWithMD2AndDES-CBC
1.2.840.113549.1.5.10, pbeWithSHAAndDES-CBC
1.2.840.113549.1.5.12, pkcs5PBKDF2
1.2.840.113549.1.5.13, pkcs5PBES2
1.2.840.113549.1.5.14, pkcs5PBMAC1
1.2.840.113549.1.5.3, pbeWithMD5AndDES-CBC
1.2.840.113549.1.5.4, pbeWithMD2AndRC2-CBC
1.2.840.113549.1.5.6, pbeWithMD5AndRC2-CBC
1.2.840.113549.1.5.9, pbeWithMD5AndXOR
1.2.840.113549.1.7, pkcs-7
1.2.840.113549.1.7.1, data
1.2.840.113549.1.7.2, signedData
1.2.840.113549.1.7.3, envelopedData
1.2.840.113549.1.7.4, signedAndEnvelopedData
1.2.840.113549.1.7.5, digestData
1.2.840.113549.1.7.6, encryptedData
1.2.840.113549.1.7.7, dataWithAttributes
1.2.840.113549.1.7.8, encryptedPrivateKeyInfo
1.2.840.113549.1.9, pkcs-9
1.2.840.113549.1.9.1, emailAddress
1.2.840.113549.1.9.10, issuerAndSerialNumber
1.2.840.113549.1.9.11, passwordCheck
1.2.840.113549.1.9.12, publicKey
1.2.840.113549.1.9.13, signingDescription
1.2.840.113549.1.9.14, extensionReq
1.2.840.113549.1.9.15, sMIMECapabilities
1.2.840.113549.1.9.15.1, preferSignedData
1.2.840.113549.1.9.15.2, canNotDecryptAny
1.2.840.113549.1.9.15.3, receiptRequest
1.2.840.113549.1.9.15.4, receipt
1.2.840.113549.1.9.15.5, contentHints
1.2.840.113549.1.9.15.6, mlExpansionHistory
1.2.840.113549.1.9.16, id-sMIME
1.2.840.113549.1.9.16.0, id-mod
1.2.840.113549.1.9.16.0.1, id-mod-cms
1.2.840.113549.1.9.16.0.2, id-mod-ess
1.2.840.113549.1.9.16.0.3, id-mod-oid
1.2.840.113549.1.9.16.0.4, id-mod-msg-v3
1.2.840.113549.1.9.16.0.5, id-mod-ets-eSignature-88
1.2.840.113549.1.9.16.0.6, id-mod-ets-eSignature-97
1.2.840.113549.1.9.16.0.7, id-mod-ets-eSigPolicy-88
1.2.840.113549.1.9.16.0.8, id-mod-ets-eSigPolicy-88
1.2.840.113549.1.9.16.1, id-ct
1.2.840.113549.1.9.16.1.1, id-ct-receipt
1.2.840.113549.1.9.16.1.16, firmwarePackage
1.2.840.113549.1.9.16.1.17, firmwareLoadReceipt
1.2.840.113549.1.9.16.1.18, firmwareLoadError
1.2.840.113549.1.9.16.1.2, authData
1.2.840.113549.1.9.16.1.3, publishCert
1.2.840.113549.1.9.16.1.4, tSTInfo
1.2.840.113549.1.9.16.1.5, tDTInfo
1.2.840.113549.1.9.16.1.6, contentInfo
1.2.840.113549.1.9.16.1.7, dVCSRequestData
1.2.840.113549.1.9.16.1.8, dVCSResponseData
1.2.840.113549.1.9.16.1.9, compressedData
